AquiferSystem,Early21stCenturyTheilSenSlope_m_per_year,Late20thCenturyTheilSenSlope_m_per_year
Abarkooh Plain,0.547,0.22375
Abbas -e Sharghi Basin,-0.836336684,0.178055556
Abbotsford-Sumas Aquifer,-0.024171875,0.007825
Albuquerque Basin,-0.024891667,0.063093333
Aleshtar Plain,0.009464286,0.049375
Aliabad Plain,1.2125,0.168333333
Alsatian Aquifer and Upper Rhine Valley,0.01,0.003565341
Alturas Warm Springs Valley,0.494713846,-0.043758304
Amargosa Desert,0.006985,0.008708571
Amol-Ghaemshahr Plain,0.009916667,0.03
Angas-Bremer Plains and Murray Estuary Aquifer System,-0.01602381,-0.1615
Antelope Basin,0.17052925,0.037513846
Antelope Valley,0.066514133,0.044329978
Antlers Aquifer,0.067817667,-0.143594667
Arak Plain,0.405356188,-0.025
Arbon Valley,0.02078371,0.025877692
Arbuckle-Simpson Aquifer,-0.030973439,-0.347058071
Arckaringa Basin and Southwestern Great Artesian Basin,0.015892857,-0.114
Arecibo-Manati and Vega Baja-Toa Baja Regions,-0.022436667,0.02543717
Arriga Flats,-0.08625,-0.120833333
Arrowsmith and Dandaragan Plateau,-0.111111111,-0.255713563
Asadabad Plain,0.605357143,0.029444444
Ashley Valley,0.013208,0.018118667
Assiniboine Delta,-0.014035714,0.006651786
Astian Aquifer,0.00925,-0.073333333
Ataiyah Basin,0.27110101,0.12
Avra Valley,-0.005310909,-0.097971429
Azghand Basin,0.965,0.091354167
Bacon Terrace,-0.049986875,0.011683333
Bahadoran Basin,0.567041667,0.661875
Balcones Fault Zone,0.142012843,-0.048056333
Bangkok Basin,-0.156875,0.748238095
Barind Tract and Central Floodplains,0.131625,0.04719375
Baza Basin,-0.047549679,0.076666667
Bear River Bay,0.023029333,0.045609487
Beaver Valley,0.045559474,0.084387971
Behbahan Plain,0.0725,-0.2009375
Behshar Basin,0.031,0.0025
Beryl-Enterprise Subarea,0.475378929,0.464898397
Big Lost River Valley,0.020247143,0.091313021
Big Valley,0.020682857,-0.02159
Big Valley in northern California,0.009525,0.010414
Biloela Basin,-0.08,0.151666667
Biscayne Aquifer,-0.0013208,-0.003131671
Bishop Basin,0.012930909,0.021551515
Black Hills Uplift,-0.083192353,-0.52324
Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),0.0707136,-0.004126523
Blue Mountains and Clearwater Embayment,0.025564375,-0.080518
Bluffton Till Plain,-0.001524056,0.01397
Boise Valley and Homedale Murphy Area,0.0316229,0.013546667
Bojnourd Plain,0.09171875,0.008928571
Bone Spring-Victorio Peak Aquifer and Dell Valley,0.301604,-0.093780101
Booborowie Valley,0.042833333,-0.007
Boroujen Aquifer,0.413660714,0.16375
Bruneau-Grandview Area,-0.031394,-0.042113571
Bundaberg Aquifer,-0.035972222,-0.00251634
Burdekin Delta,-0.063090278,-0.019419935
Butte Basin,0.026125714,0.003048
Butte Valley,0.210209946,0.10287
Cache Valley,0.003048,0.058293
Cadenas Marchigue y Yerbas Buenas,0.17,0.1375
Camas Prairie,-0.006184167,-0.006096
Campo de Cartagena Multilayered Aquifer,-0.015416667,-0.989166667
Canadian River Alluvial Aquifer,0.067987222,-0.10668
Canning Basin,0.028357143,0.016428571
Cape Cod Aquifer,-0.014858929,-0.008243149
Carman Sand and Southern Carbonate Rock Aquifers,0.00260119,-0.021491758
Carson Valley,0.036657643,0.046466892
Castellon Plain,0.18,0.0995
Castle Hayne Aquifer,0.0034798,0.008636
Catahoula Area,-0.086078661,0.108313095
Cedar Valley,0.422421872,0.233898864
Cedar Valley near Utah Lake,0.057015882,-0.05639125
Central Adelaide Plains,-0.00675,0.141964286
Central Basin,0.124587,-0.304165694
Central Bohemian Cretaceuos Basin,0.011142113,0.00375
Central Canterbury Plains,0.01844375,-0.005
Central Carrizo-Wilcox,0.054339,0.0716275
Central Colusa Basin,0.0648589,0.010355385
Central Eucla Basin,-0.021881868,0.023461538
Central High Plains,0.453474444,0.286512036
Central Karoo Basin,-0.004642857,0.150982143
Central Lake Area,-0.034616571,0.012310241
Central Mallee,0.007583333,0.00625
Central Mashad Plain,0.4196875,0.516666667
Central Minnesota Surficial and Buried Sand and Gravel Aquifers,-0.006828692,0.007101417
Central Mississippi Embayment,0.011321143,0.057954985
Central Otway Basin,0.036979167,0.07
Central Paris Basin,0.02175,0.1040625
Central Perth Basin,0.034,0.04225
Central Piedmont Upland,-0.019473333,-0.011446933
Central Plain,0.173401553,0.132772576
Central Razan Plain,0.77725,0.54
Central Santiago Basin,0.627272727,0.379166667
Central Sevier Valley,0.055517143,0.055057524
Chacabuco-Polpaico Aquifer,1.333942308,0.801875
Chino Basin,0.075438,0.166792021
Chittagong Coast Aquifer,0.065270833,0.038752232
Chowchilla Basin,1.017563077,0.957961
Cimarron Basin,0.033909,-0.060161714
Clarence-Moreton Basin and Cecil Plains,0.022678571,0.090416667
Coachella Valley,0.011049,0.221903636
Coastal Caborca Aquifer,0.6925,0.67234375
Codegua and Graneros-Rancagua Aquifers,0.575,0.428571429
Cold Lake-Beaver River Basin,-0.053246923,0.045766071
Columbus Lowland and Darby Plain,-0.011480368,0.029108583
Confined Claiborne Near Jackson,0.718330864,0.817459545
Connecticut Valley,0.006976533,-0.013272898
Coonamble Embayment,0.107916667,0.0985
