AquiferSystem,Annual_precipitation_divided_by_potential_evapotranspiration,Percent_of_area_covered_by_cropland
Milk River,0.261457537,47.22599164
Paskapoo-Scollard,0.577790898,18.23253258
North-central High Plains,0.244379298,69.90407531
South-central High Plains,0.261764824,17.36171288
Equus Beds,0.459795116,51.91277289
Great Bend Prairie,0.360411736,53.86302671
Northern High Plains,0.331625827,35.21954105
Central High Plains,0.226946436,34.78059693
Southern High Plains,0.197870687,33.61570746
Confined Claiborne Near Jackson,0.953120273,7.426467049
Eastern Mississippi Embayment,0.94755668,15.40448155
Central Mississippi Embayment,0.873047698,50.65616325
Western Mississippi Embayment,0.900200063,2.294024392
Eastern Carrizo-Wilcox,0.748350571,4.019823731
Central Carrizo-Wilcox,0.568745895,8.88829865
Western Carrizo-Wilcox,0.320175845,8.306627047
Denver Basin,0.223185126,19.16872058
West Salt River Basin,0.077697715,7.301761973
East Salt River Basin,0.106852702,5.113615857
Maricopa-Stanfield Basin,0.077788949,22.44729015
Avra Valley,0.151868539,1.446971153
Upper Santa Cruz Basin,0.164109584,0.306437053
San Pedro Basin,0.184222615,1.151137479
Willcox-Douglas Basin,0.171800898,3.112574136
Yuma Basin,0.031287554,25.69066906
Ozark Plateaus Aquifer System,0.77742715,13.55221094
Salinas Valley,0.228528266,23.4295904
Coachella Valley,0.047977967,5.700538343
Williston Basin,0.310692471,32.19409516
Powder River Basin,0.241521938,2.480533994
Black Hills Uplift,0.325794992,3.252396639
Southern Willamette Valley,1.183179378,15.56488029
Central Willamette Valley,1.136631528,14.83249049
Tualatin and Portland Basins,1.335875127,3.889665257
Palouse Basin,0.487179985,65.59897074
Yakima Basin,0.202518502,10.72429329
Odessa Subregion,0.164767046,45.06656854
Quincy Subregion,0.126215181,26.98916602
Northern Columbia River Basin,0.237580652,26.70229889
Spokane Valley-Rathdrum Prairie Aquifer,0.571043282,2.477331946
Little Spokane Basin,0.50044089,4.68490037
Blue Mountains and Clearwater Embayment,0.46016533,8.506199961
Palouse Slope,0.329039006,35.61325132
Walla Walla Basin,0.340978114,36.8680297
Umatilla Basin and Horse Heaven Hills,0.236088871,23.14316119
Albuquerque Basin,0.127016311,1.609438652
Espanola Basin,0.185986327,0.488431567
San Luis Valley,0.182045235,8.599016803
Roswell Basin,0.138467425,4.918690075
Valle de Juarez and Hueco Bolson,0.095092505,3.377534309
Tularosa Basin,0.112366267,0.391171091
Mesilla Valley,0.098980875,13.65567238
Rincon Valley,0.109587534,19.45877329
Estancia Basin,0.177219496,2.529670448
Southern San Juan Basin,0.167206995,0.147760051
Upper Deschutes Basin,0.428054873,2.05968209
Lahontan Valley,0.066570176,4.926131825
Lolo-Bitterroot Valley,0.274388089,9.168513912
Mission Valley and Irvine Flats,0.355949798,16.84693215
Little Bitterroot Valley,0.34453371,9.794581877
Santa Maria Basin and Nipomo Valley,0.29124682,30.28942841
Lower Santa Ynez Valley,0.27588156,9.029237129
Upper Santa Ynez Valley,0.255237452,5.098090796
Cuyama Valley,0.230145175,18.48060478
San Antonio Creek Valley,0.27471068,17.44286305
Beaver Valley,0.155805672,12.67018121
Parowan Valley,0.153293805,13.47788695
Cedar Valley,0.153446082,6.569206017
Pahvant Valley,0.160973291,13.39075272
Central Sevier Valley,0.146638041,19.1008859
Sanpete Valley,0.212388016,15.34254113
Juab Valley,0.20301474,12.83440768
Milford-Blackrock Subarea,0.120739834,4.065818148
Beryl-Enterprise Subarea,0.14492891,7.474386319
Lund Subarea,0.138510479,0.242145363
Rush Valley,0.187834621,0.852746748
Toole Valley,0.22240068,4.508052048
Goshen Valley,0.175998805,17.43812747
Southern Utah Valley,0.256864241,25.64612046
Cedar Valley near Utah Lake,0.206230783,2.25216596
Sevier Desert,0.122149598,7.184466697
Ashley Valley,0.164644491,15.33051767
Roosevelt Valley and Uinta River Basin and Pelican Lake region,0.158661381,11.09593405
Western Uinta Basin,0.216750081,4.068979016
Spring Valley,0.131570316,0.856830173
Snake Valley,0.101230717,1.322435404
Deep Creek Valley,0.134870375,0.628328266
Lake Valley,0.142132767,1.204663227
Hamlin Valley,0.142550036,0.550376841
Dry Lake Valley and Dreamer Valley,0.106832901,0.092974168
White River Valley,0.11906471,1.148631484
Steptoe Valley,0.145379298,1.53950626
Railroad Valley,0.094109937,0.777021167
Coyote Springs Valley,0.054535388,0.044172536
Las Vegas Basin,0.04333986,0.247952437
Amargosa Desert,0.038652798,0.575718036
Pahrump Valley,0.0484042,0.223563118
Indian Springs Valley,0.064949854,0.033446477
Three Lakes Valley,0.053877028,0.021803228
Churchill Valley,0.07088608,0.465589323
Dayton Valley,0.089231298,0.381987746
Carson Valley,0.158336929,3.733105085
Eagle Valley,0.155562963,0.313954719
Abbotsford-Sumas Aquifer,1.43983209,24.17965384
South Sound and Commencement Bay,1.409257765,1.584435566
Main Basin,1.259951409,0.662496855
Lower Fraser Valley,1.708829467,6.049125887
Big Chino Valley,0.158371063,0.460560769
Little Chino Valley,0.208476842,0.214001355
Lonesome and Prescott Valleys,0.211978962,0.004414315
Santa Rosa Valley,0.558612534,22.38683289
Big Bear Valley,0.396623188,0.010963354
Grand Forks Aquifer,0.460545614,4.250852596
Osoyoos Aquifer,0.268684667,2.374491575
Oliver Sub-basin,0.279653403,3.988824721
Okanagan Lake Perimeter (west),0.335976744,0.591499314
Winfield-Wood Lake and Kalamalka Lake Aquifers,0.402533728,0.387676936
North Okanagan,0.537771968,11.08879566
Southern Tule Lake,0.216951101,20.80689871
Northern Tule Lake,0.219233077,26.47002725
Lower Klamath Lake,0.237880833,9.970122023
Klamath River,0.292363761,2.485358094
Klamath Valley,0.244578864,11.43205287
Upper Lost River,0.243714891,8.163403432
Butte Valley,0.291736986,8.500545647
Sprague Basin,0.323450865,1.163954645
